,date,steps,distance,latitude,longitude
236,20170125,5295,3688.0,33.95853237731105,-118.4369816413345
237,20170126,2564,2041.0,33.95853237731105,-118.4369816413345
238,20170127,4109,3990.0,33.95853237731105,-118.4369816413345
239,20170128,7771,5693.0,33.95853237731105,-118.4369816413345
240,20170129,16750,13630.0,33.807413,-117.92654
241,20170130,2481,2629.0,33.95853237731105,-118.4369816413345
242,20170131,3528,2420.0,33.95853237731105,-118.4369816413345
243,20170201,7082,5127.0,33.95853237731105,-118.4369816413345
244,20170202,2041,1430.0,33.95853237731105,-118.4369816413345
245,20170203,3427,2622.0,33.95853237731105,-118.4369816413345
246,20170204,3441,2207.0,33.95853237731105,-118.4369816413345
247,20170205,6137,4420.0,33.95853237731105,-118.4369816413345
248,20170206,2043,1529.0,33.95853237731105,-118.4369816413345
249,20170207,4826,3496.0,33.95853237731105,-118.4369816413345
250,20170208,3835,2661.0,33.95853237731105,-118.4369816413345
251,20170209,3986,2859.0,33.95853237731105,-118.4369816413345
252,20170210,5480,3755.0,33.95853237731105,-118.4369816413345
253,20170211,4466,3006.0,33.95853237731105,-118.4369816413345
254,20170212,6636,4681.0,33.95853237731105,-118.4369816413345
255,20170213,5889,4477.0,33.95853237731105,-118.4369816413345
256,20170214,5600,4714.0,33.95853237731105,-118.4369816413345
257,20170215,3464,2649.0,33.95853237731105,-118.4369816413345
258,20170216,4304,3907.0,33.95853237731105,-118.4369816413345
259,20170217,1985,1712.0,33.95853237731105,-118.4369816413345
260,20170218,3985,2878.0,33.95853237731105,-118.4369816413345
261,20170219,5780,6765.0,33.95853237731105,-118.4369816413345
262,20170220,8070,6790.0,33.95853237731105,-118.4369816413345
263,20170221,3275,3252.0,33.95853237731105,-118.4369816413345
264,20170222,7046,4640.0,33.95853237731105,-118.4369816413345
265,20170223,6508,4709.0,38.253416,-85.75656
266,20170224,6124,12563.0,38.253098,-85.751057
267,20170225,5133,3891.0,33.95853237731105,-118.4369816413345
268,20170226,2761,2672.0,33.95853237731105,-118.4369816413345
269,20170227,4499,3135.0,33.95853237731105,-118.4369816413345
270,20170228,3179,2362.0,33.95853237731105,-118.4369816413345
271,20170301,3402,3218.0,33.95853237731105,-118.4369816413345
272,20170302,7640,5853.0,33.95853237731105,-118.4369816413345
273,20170303,3631,3129.0,33.95853237731105,-118.4369816413345
274,20170304,3921,3416.0,33.95853237731105,-118.4369816413345
275,20170305,3258,3236.0,33.95853237731105,-118.4369816413345
276,20170306,8704,7001.0,33.95853237731105,-118.4369816413345
277,20170307,7831,5558.0,33.95853237731105,-118.4369816413345
278,20170308,3868,3376.0,33.95853237731105,-118.4369816413345
279,20170309,3060,3499.0,33.95853237731105,-118.4369816413345
280,20170310,10632,9002.0,33.95853237731105,-118.4369816413345
281,20170311,9973,9155.0,30.2531518561,-97.7445087778
282,20170312,19902,16052.0,30.2531518561,-97.7445087778
283,20170313,15286,11541.0,30.2531518561,-97.7445087778
